Ontology,Topics,Terms,Description,GOIDs
BP,Topic_11,"Cellular Cytoskeleton Organization: Actin, Intermediate Filaments, and Organelles","Cellular processes involved in the organization and assembly of various cytoskeletal structures, including actin filaments and intermediate filaments, as well as organelles. It encompasses actin filament dynamics in different contexts like postsynaptic and presynaptic regions, lamellipodia formation, and stereocilium organization in auditory and vestibular cells. Additionally, it covers intermediate filament polymerization and cytoskeleton organization, actomyosin structure formation, and the assembly of dense core granules. Key aspects include cellular component biogenesis and the intricate organization of the nuclear matrix and mitochondrial nucleoids.",GO:0007015_GO:0098974_GO:0099140_GO:0070649_GO:0097581_GO:0099185_GO:0099188_GO:0060122_GO:0045107_GO:0045104_GO:0031032_GO:0061110_GO:0060088_GO:0060121_GO:0006996_GO:0030036_GO:0044085_GO:0031038_GO:0061573_GO:0043578_GO:0090144
BP,Topic_12,Regulation and Mechanisms of Cell Adhesion,"Processes involved in cell adhesion, focusing on how cells attach to substrates and to each other through adhesion molecules. It includes the regulation of cell-substrate adhesion, such as positive and negative modulation, and the production of cell adhesion molecules. It also covers various forms of cell-cell adhesion, including homophilic and heterophilic interactions, and how these processes contribute to specific physiological and developmental functions, like heart morphogenesis and angiogenesis. Additionally, the topic addresses specialized adhesion contexts, such as neuron, leukocyte, and B cell adhesion, as well as tolerance induction to tumor cells and responses to bacterial lipopeptides. Key aspects include podosome assembly, calcium-independent adhesion, and the role of cell adhesion in communication between AV node cells and the bundle of His.",GO:0010810_GO:0010812_GO:0010811_GO:0060355_GO:0007157_GO:0061343_GO:0060354_GO:0120078_GO:0002413_GO:0034109_GO:0042496_GO:0016338_GO:0007155_GO:0060353_GO:0007156_GO:0086072_GO:0071800_GO:0007158_GO:0007159_GO:0097323_GO:0098609
BP,Topic_13,Development and Morphogenesis of Nephron Structures and Renal Capsule,"Progression of renal system development, focusing on the metanephric glomerulus, various nephron tubules, and the renal capsule. It includes the development of the metanephric glomerular epithelium, proximal convoluted tubule, thick ascending limb, and other nephron segments. The renal capsule's formation and maturation are also addressed. Additionally, the regulation of ureteric bud branching, critical for kidney and ureter formation, is explored. This comprehensive overview highlights the intricate processes essential for forming a functional kidney.",GO:0072244_GO:0072233_GO:0072229_GO:0072010_GO:0072237_GO:0072230_GO:0032835_GO:0072127_GO:0072128_GO:0072129_GO:0072224_GO:0072023_GO:0072236_GO:0039020_GO:0072235_GO:0072312_GO:0072220_GO:0090189_GO:0090190_GO:0090191
BP,Topic_14,Regulation and Communication in Cardiac Conduction and Extracellular Matrix Dynamics,"Regulation of cell communication crucial for cardiac conduction and extracellular matrix dynamics. It details the mechanisms of communication between cardiac cells, such as those in the SA node, atrial muscle cells, and the Purkinje fibers, essential for synchronized heart contractions. Additionally, it covers processes that positively or negatively regulate extracellular matrix disassembly, crucial for tissue remodeling. These insights into cell signaling and matrix regulation highlight their significance in maintaining cardiac function and tissue integrity.",GO:0010648_GO:0086069_GO:0086070_GO:0086066_GO:0010646_GO:0086068_GO:0086065_GO:0010647_GO:0086067_GO:0007154_GO:0090091_GO:0010715_GO:0060126_GO:0035583_GO:0051301_GO:0010716_GO:0030150_GO:0048251_GO:0042710_GO:0008150
BP,Topic_15,Regulation of Interferon Production and Macromolecule Metabolism,"Complex regulation of interferon production across types I, II, and III, including both positive and negative aspects. Type I interferons (e.g., alpha, beta) and type III interferons (e.g., lambda) play crucial roles in immune response, with their production tightly regulated by cellular processes. Additionally, it addresses the regulation of macromolecule biosynthesis and catabolism, including the formation and breakdown of macromolecules like proteins and nucleic acids. Understanding these regulatory mechanisms is vital for insights into immune function and cellular metabolism.",GO:0032479_GO:0032480_GO:0032606_GO:0006540_GO:0060337_GO:0032481_GO:0071357_GO:0034340_GO:0034344_GO:0034346_GO:0010558_GO:0009057_GO:0009059_GO:0044260_GO:0032649_GO:0032729_GO:0060255_GO:0034345_GO:0010556_GO:0010557
BP,Topic_16,Development and Regulation of Respiratory and Other Tissues,"The developmental processes of various tissues and organs, including the bronchial tree, lung connective tissue, and other structures like the cervix and hard palate. It includes the progression from initial formation to mature state, detailing specific structures such as the lobar bronchus, bronchioles, and lung lobes. It also covers the regulation of these developmental processes, including both positive and negative aspects, and the development of other important structures like the inner ear receptor cells and the dentate gyrus. Understanding these processes is crucial for insights into both normal development and developmental disorders.",GO:0060482_GO:0060433_GO:0060481_GO:0060427_GO:0061184_GO:0060067_GO:0021723_GO:0021544_GO:0060022_GO:0051093_GO:0060435_GO:0060462_GO:0072060_GO:0072232_GO:0021542_GO:0007275_GO:0007525_GO:0061185_GO:0060119_GO:0060717
BP,Topic_17,"Maturation Processes in Brain, Bone, and Cellular Structures","Maturation processes of various biological structures and cells, focusing on the midbrain-hindbrain boundary, osteoclasts, oocytes, erythrocytes, and more. It details the developmental progression required for these elements to reach their fully functional states. Key areas include brain regions like the midbrain-hindbrain boundary, bone remodeling and maturation, hair follicle and pigment granule development, and the maturation of various cells such as erythrocytes and epithelial cells. Understanding these processes is crucial for insights into both normal development and related disorders.",GO:0021732_GO:0021547_GO:0022004_GO:0021555_GO:0030917_GO:0036179_GO:0001556_GO:0043354_GO:0046849_GO:0043249_GO:0070977_GO:0048820_GO:0048757_GO:0021578_GO:0048799_GO:0035799_GO:0060743_GO:0014041
BP,Topic_18,Regulation of Post-Translational Modifications and Signaling Pathways,"The regulation and processes involved in various post-translational modifications and signaling pathways. Key areas include the phosphorylation and methylation of histidines and threonines, protein glycosylation (O-linked and N-linked), and the activation and regulation of JAK-STAT and SMAD signaling pathways. These modifications and signaling mechanisms are crucial for cellular functions, influencing protein activity, stability, and interactions. Understanding these processes is vital for insights into cellular regulation and potential therapeutic targets for related disorders.",GO:0018106_GO:0018021_GO:0007259_GO:0010800_GO:0010801_GO:0010799_GO:0010533_GO:0018242_GO:0018279_GO:0006493_GO:0007182_GO:0018243_GO:0060394_GO:0042038_GO:0010738_GO:0060393_GO:0018191_GO:0019918_GO:0080163_GO:0051896
BP,Topic_19,Differentiation and Maturation of Various Epithelial and Specialized Cells,"Processes of differentiation and maturation across various cell types, including columnar/cuboidal epithelial cells, glandular epithelial cells, and specialized cells such as macrophage-derived foam cells, Leydig cells, and Purkinje myocytes. It encompasses the mechanisms that drive these cells from a less specialized state to their mature, functional forms. Key processes include regulation of cell morphogenesis, positive and negative regulation of differentiation, and specialized cell development, highlighting their importance in tissue formation and function.",GO:0002065_GO:0002069_GO:0010744_GO:0035990_GO:0002067_GO:0010769_GO:0010743_GO:0010745_GO:0033327_GO:0048863_GO:0003168_GO:0002066_GO:0035883_GO:0060218_GO:0002071_GO:0010770_GO:0061101_GO:0002068_GO:0060486_GO:0072311
BP,Topic_20,Morphogenesis and Development of Animal Organs and Anatomical Structures,"Various processes involved in the formation and maturation of animal organs and anatomical structures, including both embryonic and post-embryonic stages. It covers organ morphogenesis, including the development of specific structures like rhombomeres, sensory organs, and heart trabeculae. Key aspects include the regulation of dendritic spine morphogenesis and anatomical structure homeostasis. These processes involve shaping, organizing, and maintaining diverse tissues and organs, essential for functional stability and development throughout an organism's life.",GO:0009887_GO:0048563_GO:0048562_GO:0021658_GO:0021664_GO:0090596_GO:0048856_GO:0021593_GO:0061001_GO:0061002_GO:0048569_GO:0060249_GO:0061384_GO:0048645_GO:0061003_GO:0048646_GO:0035127_GO:0048568_GO:0060997_GO:0021660_GO:0021666
BP,Topic_21,Biosynthetic and Metabolic Pathways of Key Biomolecules,"Chemical reactions and pathways involved in the biosynthesis and metabolism of crucial biomolecules. It includes processes like the formation of CDP-diacylglycerol, dolichyl diphosphate, and phospholipids, as well as the biosynthesis of geranyl diphosphate and sphinganine. The metabolism of porphyrin-containing compounds, xylulose 5-phosphate, and folic acid derivatives is also highlighted. These pathways are essential for various biological functions, including cell membrane formation, lipid metabolism, and cellular energy production.",GO:0046341_GO:0016024_GO:0043048_GO:0006778_GO:0051167_GO:0033384_GO:0046511_GO:0006233_GO:0006489_GO:0008654_GO:0006669_GO:0006787_GO:0046704_GO:0009396_GO:0046452_GO:0006085_GO:0033489_GO:0046490_GO:0009240_GO:0046111_GO:0046654
BP,Topic_22,Development and Regulation of Nervous System and Neurotransmitter Processes,"The development and regulation of the nervous system and neurotransmitter processes. It includes the progression of the enteric, sympathetic, central, and peripheral nervous systems, as well as central nervous system myelination. Key aspects involve neurotransmitter handling such as norepinephrine, acetylcholine, serotonin, and dopamine, including their uptake, secretion, and metabolic processes. These mechanisms are crucial for effective neurotransmission and the proper functioning of both the central and peripheral nervous systems.",GO:0048484_GO:0051620_GO:0014860_GO:0015874_GO:0042415_GO:0042421_GO:0021551_GO:0051630_GO:0021626_GO:0048485_GO:0042552_GO:0022010_GO:0007422_GO:0001820_GO:0042133_GO:0014055_GO:0022011_GO:0014046_GO:0051610_GO:0007417
BP,Topic_23,"Regulation and Formation of Neural Crest, Heart Valves, and Sexual Characteristics","Processes involved in the regulation and formation of neural crest cells, heart valves, and primary sexual characteristics. It covers the development stages of neural crest formation, including its negative regulation and progression. Additionally, it includes the formation of heart valves such as the atrioventricular, tricuspid, aortic, mitral, and pulmonary valves, as well as the development of primary male and female sexual characteristics. Key aspects include the interactions between these processes and their contributions to overall embryonic and organ development.",GO:0090301_GO:0090299_GO:0014029_GO:0014020_GO:0021501_GO:0009790_GO:0046546_GO:0001840_GO:0003190_GO:0003195_GO:0048318_GO:0003188_GO:0003189_GO:0003156_GO:0021508_GO:0045137_GO:0046545_GO:0060914_GO:0048570_GO:0003192_GO:0003193
BP,Topic_24,"Regulation and Metabolism of UDP-Glucose, Galactose, and Glycoproteins","The regulation and metabolic processes of UDP-glucose, galactose, and glycoproteins. It details the breakdown and synthesis of UDP-glucose and UDP-N-acetylgalactosamine, as well as the impact of these processes on glycoprotein biosynthesis. The focus extends to the metabolic pathways of monosaccharides like galactose and mannose, and the formation of complex structures such as lactosylceramides, gangliosides, and globosides. The interplay between these pathways highlights their role in cellular functions and organ formation.",GO:0010904_GO:0006012_GO:0042351_GO:0005996_GO:0010905_GO:0005977_GO:0019276_GO:0010559_GO:0046478_GO:0019673_GO:0006013_GO:0010706_GO:0009100_GO:0006683_GO:0009101_GO:0046381_GO:0006048_GO:0006055_GO:0001572_GO:0010707
BP,Topic_25,Regulation and Mechanisms of DNA Repair and Recombination,"Various DNA repair and recombination processes, including synthesis-dependent strand annealing (SDSA), strand invasion, and translesion synthesis. It covers the roles of positive and negative regulation in strand invasion, nucleotide-excision repair, and error-prone vs. error-free translesion synthesis. Key aspects include the repair of double-strand breaks via SDSA, replication fork arrest, and telomere maintenance through trimming. Additionally, it explores meiotic DNA repair mechanisms and their role in genetic recombination and gene conversion.",GO:0045003_GO:0098530_GO:0000708_GO:0060542_GO:0042148_GO:0043111_GO:0042276_GO:0000732_GO:0006289_GO:0006281_GO:0006273_GO:0070987_GO:0090737_GO:0006283_GO:0019985_GO:0070914_GO:0010705_GO:0090262_GO:0010774_GO:0006311
BP,Topic_26,Aminoacylation of tRNA,"The process of aminoacylating tRNA molecules with various amino acids, including glutamate, glutamine, leucine, tryptophan, phenylalanine, isoleucine, methionine, tyrosine, alanine, serine, arginine, aspartate, cysteine, glycine, proline, and threonine. Aminoacylation involves the attachment of an amino acid to its corresponding tRNA, facilitated by specific aminoacyl-tRNA synthetases. The processes vary slightly depending on the amino acid and whether the reaction occurs in mitochondria or the cytosol. The general mechanism involves activation of the amino acid by linking it to AMP, followed by transfer to the tRNA¡¯s 2'- or 3'-OH group.",GO:0006424_GO:0006425_GO:0006429_GO:0006436_GO:0006432_GO:0006428_GO:0006431_GO:0006437_GO:0006419_GO:0070158_GO:0006420_GO:0006422_GO:0006423_GO:0006426_GO:0006433_GO:0070183_GO:0006421_GO:0006434_GO:0006435_GO:0070143_GO:0070145_GO:0070159
BP,Topic_27,Adaptive Immune Response and Isotype Switching Mechanisms,"The adaptive immune response involves somatic recombination of immunoglobulin superfamily domains to produce antigen-specific receptors on T and B cells. Upon initial antigen exposure, a primary immune response is slow, but memory cells enable a quicker, stronger secondary response. Isotype switching, including IgA, IgE, and IgG, is crucial for tailoring immune responses. This process involves intrachromosomal deletions between switch regions of the immunoglobulin heavy chain locus. Additionally, adaptive responses involve muscle adaptations and regulation of inflammatory responses, from acute to chronic, influenced by various stimuli and cytokines.",GO:0002460_GO:0048290_GO:0035708_GO:0048289_GO:0002526_GO:0048291_GO:0002438_GO:0014888_GO:0043500_GO:0014805_GO:0045190_GO:0072538_GO:0014733_GO:0042092_GO:0002431_GO:0014887_GO:0002439_GO:0061760_GO:0090022_GO:0090024
BP,Topic_28,"Viral Latency, Entry, and Life Cycle Dynamics","Viral latency involves establishing a persistent state within the host, either as an integrated provirus or episome. The viral life cycle includes critical stages such as entry into the host cell, transport of viral material to the nucleus via microtubules, and early transcription of viral genes. Post-entry, viruses undergo membrane fusion, followed by nuclear entry through the nuclear pore complex. Viral maturation involves proteolytic processing and structural rearrangements. Additionally, processes like tRNA re-export and regulation of mRNA poly(A) tail length are essential for viral and cellular functions.",GO:0019043_GO:0075606_GO:0060212_GO:0016032_GO:0071528_GO:0021718_GO:0019058_GO:0019085_GO:0046718_GO:0075519_GO:0021722_GO:0060211_GO:0060213_GO:0046755_GO:0036342_GO:0019064_GO:0039663_GO:0075506_GO:0019075_GO:0019083_GO:0075713
BP,Topic_29,Regulation of Calcium Ion Release and Detoxification in Cellular Processes,"Cellular regulation of calcium ion release and metal detoxification are crucial for maintaining cellular function. The release of sequestered calcium ions by the sarcoplasmic reticulum regulates both skeletal and cardiac muscle contractions. The activity of ryanodine-sensitive calcium-release channels modulates this release, with both positive and negative regulations impacting muscle contraction. Detoxification processes address the removal of toxic ions such as mercury, copper, zinc, and cadmium. Additionally, unfolded protein responses mediated by ATF6, IRE1, and PERK manage ER stress and maintain cellular homeostasis.",GO:0050787_GO:0060315_GO:0060314_GO:0060316_GO:0010880_GO:0010881_GO:0014809_GO:0014810_GO:0036500_GO:0051482_GO:0010273_GO:0010312_GO:0036498_GO:0071788_GO:0071585_GO:0036316_GO:0002115_GO:0014808_GO:0036499_GO:0071816
BP,Topic_30,Regulation and Checkpoints in Chromosome Segregation and Cell Cycle,"The regulation of chromosome segregation and cell cycle checkpoints is critical for accurate cell division. Key processes include the regulation of homologous chromosome segregation, mitotic spindle assembly checkpoints, and sister chromatid cohesion. The mitotic spindle checkpoint ensures that chromosomes are properly attached to the spindle before anaphase begins. The cell cycle also involves the segregation of chromosomes, maintenance of chromatid cohesion, and the formation of mitotic centrosomes. Additionally, the circadian sleep/wake cycle influences wakefulness, modulated by various signaling pathways.",GO:0060629_GO:0007094_GO:0045143_GO:0071174_GO:0090266_GO:0090267_GO:0000070_GO:0007049_GO:0007064_GO:0010840_GO:0098813_GO:0007100_GO:0044779_GO:0099607_GO:0007059_GO:0010841_GO:0071960_GO:0007131_GO:0034088_GO:0051455
BP,Topic_31,Antigen Processing and Presentation via MHC Class I and Class Ib Pathways,"Antigen processing and presentation involve the display of peptide antigens on the cell surface bound to MHC molecules. Exogenous antigens can be presented by both MHC class I and class Ib molecules, with pathways dependent or independent of TAP transport. Endogenous antigens are presented through similar MHC class I or class Ib pathways. Class Ib molecules, such as those of the HLA-E and CD1 families, also present lipid antigens. Additionally, interleukins such as IL-17, IL-2, and IL-23 are produced in response to cellular stimuli, playing roles in immune responses.",GO:0002481_GO:0002489_GO:0002488_GO:0002479_GO:0002480_GO:0002477_GO:0002428_GO:0002484_GO:0002486_GO:0002476_GO:0042590_GO:0002485_GO:0048002_GO:0048006_GO:0048003_GO:0032620_GO:0019885_GO:0032623_GO:0032627_GO:0097087
BP,Topic_32,"Regulation of Biological Processes by pH, Photoperiod, and Cellular Signaling","Biological regulation encompasses diverse processes, including responses to environmental stimuli like light duration and pH changes. Long-day and short-day photoperiodism affect organismal behavior and physiology based on day length relative to a critical threshold. Cellular responses to pH variations, whether acidic or alkaline, involve adaptations in intracellular functions and lysosomal pH regulation. Additionally, mechanisms like replication fork protection and phospholipase C signaling influence cellular stability and synaptic plasticity. These integrated processes ensure optimal biological function and adaptation.",GO:0048571_GO:0048572_GO:0009648_GO:0071469_GO:0010446_GO:0071467_GO:0009268_GO:0071468_GO:0010447_GO:0048478_GO:0035751_GO:0065007_GO:0032847_GO:0032848_GO:0046005_GO:0060816_GO:0010692_GO:0065008_GO:0030845_GO:0048172
BP,Topic_33,"Regulation of Vitamin D Metabolism, Lipid Storage, and Cellular Responses","Vitamin D metabolism involves converting inactive calciol into active calcitriol through liver and kidney processes. This biosynthesis is tightly regulated, with positive and negative factors influencing the rate and extent of vitamin D production. Lipid storage and regulation are also crucial, impacting energy reserves and metabolism. Additionally, cellular responses to leptin and brown fat differentiation play roles in energy balance and thermogenesis. These processes are interconnected, highlighting the complexity of nutrient metabolism and its regulation.",GO:0036378_GO:0060556_GO:0060557_GO:0010883_GO:0010884_GO:0006766_GO:0010957_GO:0010888_GO:0042368_GO:0042369_GO:0019915_GO:0035461_GO:0009111_GO:0042359_GO:0044320_GO:0090336_GO:0035350_GO:0006742_GO:0009435_GO:0019677
BP,Topic_34,"Interactions, Aging, and Responses in Symbiotic Relationships","Symbiotic interactions, ranging from mutualism to parasitism, involve complex processes between host and symbiont. These include cellular entry and exit, intracellular protein transport, and modulation of host functions. Symbionts can induce programmed cell death in hosts, or conversely, hosts may disrupt or kill symbionts. The aging of multicellular organisms and their responses to pain and heat stress also impact these relationships. Effective communication and response mechanisms, including thermoception and nociception, play crucial roles in managing symbiotic dynamics and organismal health.",GO:0044403_GO:0034050_GO:0048266_GO:0010259_GO:0051702_GO:0051701_GO:0035891_GO:0044417_GO:0051873_GO:0052183_GO:0075071_GO:0085017_GO:0050955_GO:0019233_GO:0048265_GO:0030581_GO:0044000_GO:0051851_GO:0031990_GO:0042000
BP,Topic_35,Cellular Responses to Various Stimuli and Stressors,"Cells respond to a wide range of stimuli, from chemicals like organophosphorus and fungicides to biological signals such as interleukins and prostaglandins. These responses include changes in movement, secretion, enzyme production, and gene expression. For example, exposure to lipid hydroperoxides or alcohol can alter cellular activities, while interactions with hormones like human chorionic gonadotropin or stressors like starvation can trigger significant physiological changes. Additionally, responses to substances such as cocaine, mycotoxins, and alkaloids highlight the cell's adaptability to environmental challenges and internal stressors.",GO:0046683_GO:0060992_GO:0006982_GO:0034694_GO:0035983_GO:0097396_GO:0042594_GO:0044752_GO:0071724_GO:0036016_GO:0071244_GO:0071350_GO:0071379_GO:0071799_GO:0072734_GO:0072749_GO:0072750_GO:0072755_GO:0097305_GO:0010046_GO:0014873_GO:0042220_GO:0043279_GO:0048584_GO:0051716
BP,Topic_36,"Regulation of Cellular Processes: Proliferation, Differentiation, and Signal Transduction","Various biological processes involve the positive regulation of key cellular functions. These include the proliferation of fibroblasts and embryonic cell cycles, mitochondrial RNA catabolism, and macrophage fusion. Additionally, pathways such as calcineurin signaling, filopodium assembly, and protein oligomerization are essential for cellular responses. Enhancements in interleukin-18 production, dopamine secretion, and granzyme B production are crucial for immune and neuronal functions. Other regulated processes involve cholesterol biosynthesis, blood vessel endothelial cell migration, and nuclear division, impacting overall cellular health and function.",GO:0048146_GO:0045977_GO:0000962_GO:0034239_GO:0106058_GO:0051491_GO:0002761_GO:0032461_GO:0032741_GO:0033603_GO:0071663_GO:0002038_GO:0031397_GO:0034250_GO:0045958_GO:0046645_GO:0001812_GO:0002854_GO:0009896_GO:0032298_GO:0035508_GO:0036493_GO:0043536_GO:0045542_GO:0051785
