"Topics","Ontology","Count","GeneRatio","BgRatio","pvalue","p.adjust","Uploaded.IDs"
"Regulation of Interferon Production and Macromolecule Metabolism","BP",109,"109/297","12944/30343",0.9845,1,"O00291/O14656/O14672/O14908/O15118/O43175/O43324/O43865/O75396/O75477/O75718/O75787/O95716/P04406/P04439/P05067/P06213/P06744/P06756/P07910/P07954/P08174/P08670/P08708/P08865/P09874/P0DMV9/P11498/P12814/P15311/P16989/P18031/P18077/P22314/P22830/P23458/P23634/P25445/P26006/P26038/P26639/P30041/P31949/P33992/P35241/P36873/P40189/P46777/P51149/P53990/P60033/P61769/P62979/P63173/P78527/P78536/P98082/Q01082/Q01650/Q01974/Q07954/Q12792/Q12913/Q14118/Q14192/Q16850/Q30201/Q6L8Q7/Q6NZI2/Q6PJF5/Q6YHK3/Q6ZNB6/Q6ZXV5/Q8IXB1/Q8N697/Q8NBM4/Q8NC42/Q92896/Q96AA3/Q96BJ3/Q96CS3/Q96FW1/Q96PU5/Q96QK1/Q99439/Q99584/Q99653/Q99714/Q9BS26/Q9BUL8/Q9BXK5/Q9H4A6/Q9H6X2/Q9HC07/Q9NR30/Q9NUQ9/Q9NYY8/Q9UBV2/Q9UHN6/Q9UIQ6/Q9UKS6/Q9UKV5/Q9UL46/Q9UN86/Q9Y376/Q9Y3E5/Q9Y5X1/Q9Y624/Q9Y679"
"Development and Regulation of Respiratory and Other Tissues","BP",96,"96/297","8498/30343",0.0563,0.1506,"O14656/O14672/O43175/O60313/O60443/O60488/O60716/O75787/O95208/O95470/O96005/P00558/P05067/P05556/P06213/P06744/P06756/P08133/P08670/P0DMV9/P10301/P11166/P11233/P11586/P12268/P15121/P16989/P18084/P18206/P18827/P23458/P23634/P24752/P26006/P29966/P31040/P32004/P35221/P35613/P36873/P38571/P39060/P40189/P43121/P49006/P51648/P53990/P55145/P61769/P62166/P63173/P78527/P78536/P98082/Q01082/Q01650/Q01974/Q02218/Q07157/Q07954/Q12792/Q12965/Q13162/Q13308/Q13444/Q13740/Q14118/Q14192/Q15043/Q15286/Q16270/Q16643/Q4KMQ2/Q6YHK3/Q86X29/Q8N3E9/Q8N697/Q92896/Q96AY3/Q96BJ3/Q96BY6/Q96PU5/Q96QK1/Q9BUL8/Q9C0E8/Q9H6X2/Q9NP58/Q9NZ08/Q9UBB4/Q9UBS4/Q9UHN6/Q9UQB8/Q9Y624/Q9Y696/Q9Y6E0/Q9Y6M5"
"Key Cellular Structures: Retromer Complex, Actin Filaments, and Stereocilia Dynamics","CC",74,"74/297","4554/30343",0,1e-04,"O00291/O14656/O15144/O15511/O60313/O60716/O75436/O75695/O95716/P04406/P05067/P06753/P07910/P08670/P0DMV9/P11166/P11171/P12814/P15311/P18206/P23458/P23634/P26006/P26038/P27105/P29966/P32004/P35221/P35241/P36873/P46939/P49006/P53621/P53985/P53990/P84077/P67936/P68366/P78536/Q01082/Q01518/Q01974/Q07065/Q07157/Q07954/Q12792/Q12965/Q13561/Q13813/Q14019/Q14118/Q14141/Q14192/Q14204/Q15942/Q16513/Q16527/Q16643/Q5VZK9/Q6P1M3/Q8IVT2/Q92896/Q93052/Q96QK1/Q99439/Q99653/Q9HBM0/Q9P0V9/Q9UHB6/Q9UKV5/Q9UQB8/Q9Y376/Q9Y5X1/Q9Y696"
"Processes of Vesicle Recycling and Membrane Transport in Cellular Secretory Pathways","BP",60,"60/297","2892/30343",0,0,"O00291/O14656/O14939/O15118/O15126/O60664/O75396/O75436/O75695/O75787/O95208/O95292/O95716/P05067/P05556/P06213/P06756/P11233/P15311/P18031/P18827/P26038/P35241/P35606/P51149/P51151/P51809/P53618/P53621/P60033/P61020/P84077/P61769/P63027/P98082/Q01082/Q01518/Q07954/Q12913/Q12965/Q15286/Q16864/Q30201/Q4KMQ2/Q5VZK9/Q6P1M3/Q7Z7H5/Q8N5M9/Q969X5/Q96PU5/Q96QK1/Q99439/Q99584/Q9H4A6/Q9P0V3/Q9UEU0/Q9UKS6/Q9UNK0/Q9Y5X1/Q9Y678"
"Regulation and Roles of ERBB and Canonical Wnt Signaling Pathways in Development","BP",59,"59/297","4899/30343",0.0501,0.1478,"O00291/O14672/O14908/O14939/O60716/O75787/O95208/O95470/P04439/P05067/P05556/P06213/P06756/P08174/P08670/P09874/P0DMV9/P11233/P15311/P18031/P18084/P18827/P23458/P25445/P26006/P35221/P35613/P40189/P51149/P60033/P78536/P98082/Q01082/Q01974/Q04941/Q07954/Q12913/Q12965/Q13308/Q13444/Q15043/Q15942/Q30201/Q4KMQ2/Q6P1M3/Q6PIU2/Q6PJF5/Q6YHK3/Q8N5M9/Q8NBM4/Q8NG11/Q92692/Q92896/Q96QK1/Q9BUL8/Q9UBV2/Q9UIQ6/Q9UKV5/Q9UQB8"
"Regulation and Homeostasis of Pancreatic Function and Essential Ions","BP",57,"57/297","3321/30343",0,2e-04,"O15118/O75787/O75907/O94925/O95292/O95716/P00390/P05067/P05556/P06213/P06744/P07954/P08133/P08708/P09874/P0DMV9/P11166/P11586/P15121/P18031/P18206/P22830/P23634/P25445/P30041/P38571/P51149/P53621/P53985/P84077/P61769/P63027/P78527/P78536/Q07157/Q13162/Q14157/Q14204/Q14644/Q15043/Q16864/Q30201/Q4KMQ2/Q86X29/Q8N5M9/Q8N697/Q96BY6/Q99653/Q9BS26/Q9HC07/Q9NP58/Q9UHB6/Q9UIQ6/Q9UQB8/Q9Y624/Q9Y696/Q9Y6M5"
"Core Structures and Functions of Synaptic Connections in Neurons","CC",55,"55/297","3216/30343",0,3e-04,"O00291/O14656/O14672/O14908/O14939/O15126/O15144/O60313/O60716/O75787/O94925/O95716/O96005/P05067/P05556/P06213/P08195/P08708/P11166/P11233/P12814/P16989/P21964/P23634/P26006/P32004/P36873/P40189/P46939/P51149/P51809/P51991/P53985/P61020/P84077/P62166/P63027/P63173/Q01082/Q01974/Q13740/Q14118/Q14141/Q14573/Q15286/Q16643/Q16864/Q86W92/Q96BY6/Q96QK1/Q9UBB4/Q9UEU0/Q9UKV5/Q9UQB8/Q9Y6M5"
"Nucleotide and Nucleoside Transport and Binding Activities in Cellular Processes","MF",54,"54/297","4059/30343",0.0113,0.0466,"O14656/O43175/O43681/O60313/O60488/O75695/O95716/P00390/P00558/P04406/P06213/P08133/P09874/P0DMV9/P10301/P11233/P11498/P11586/P12235/P12268/P22314/P23458/P23634/P24752/P26639/P28288/P31040/P31937/P33992/P50213/P51149/P51151/P52209/P61020/P84077/P68366/P78527/Q01813/Q01974/Q12792/Q12965/Q13308/Q14141/Q14204/Q15286/Q16513/Q9H089/Q9NP58/Q9NR30/Q9P0V9/Q9UBQ7/Q9UG63/Q9Y6E0/Q9Y6N5"
"Regulation and Mechanisms of Cell Adhesion","BP",51,"51/297","2887/30343",0,3e-04,"O14656/O14672/O15144/O60716/P04439/P05067/P05556/P06756/P08174/P08865/P10301/P12814/P15311/P18084/P18206/P23458/P26006/P26038/P31949/P32004/P35221/P35241/P39060/P40189/P43121/P46939/P50895/P60033/P61769/P78536/P98082/Q07157/Q12913/Q13308/Q13444/Q13740/Q14118/Q15942/Q16270/Q16513/Q30201/Q5VZK9/Q86W92/Q92692/Q93052/Q9H4A6/Q9H6X2/Q9HBM0/Q9NUQ9/Q9UQB8/Q9Y624"
"Regulation and Mechanisms of Fibroblast and Glial Cell Migration","BP",49,"49/297","4214/30343",0.1123,0.2507,"O00291/O15118/O15269/O43324/O43865/O60313/O60443/O95470/P04406/P05067/P05556/P06744/P06756/P08133/P08670/P09874/P0DMV9/P12235/P12814/P15121/P16989/P18031/P25445/P29966/P32322/P35221/P40189/P78527/P78536/P98082/Q01650/Q01974/Q02218/Q07157/Q07954/Q13510/Q14192/Q16513/Q4KMQ2/Q6L8Q7/Q8IXB1/Q96QK1/Q99653/Q9BUL8/Q9BXK5/Q9H4A6/Q9NYY8/Q9Y3E5/Q9Y6E0"
"Clathrin and Adaptor Complexes in Vesicle Formation and Endocytosis","CC",43,"43/297","1549/30343",0,0,"O00291/O43493/O75396/O75436/O75787/O95208/P04439/P05067/P06756/P08670/P11233/P18031/P18084/P35606/P51149/P51151/P51809/P53618/P53621/P61020/P61769/P62979/P63027/P98082/Q01974/Q07954/Q12965/Q15043/Q15286/Q15942/Q16864/Q30201/Q8N4V1/Q8N697/Q96QK1/Q9HC07/Q9NP58/Q9P0V3/Q9UEU0/Q9UIQ6/Q9UNK0/Q9Y5X1/Q9Y678"
"Regulation and Mechanisms of Apoptosis, Necroptosis, and Phototransduction","BP",43,"43/297","3825/30343",0.1857,0.3746,"O00291/O15269/O43324/O43865/O60313/O60443/O95470/P04406/P05067/P05556/P06744/P06756/P08133/P09874/P0DMV9/P12235/P12814/P15121/P16989/P18031/P22830/P25445/P29966/P35221/P40189/P78527/P78536/P98082/Q01650/Q07157/Q13510/Q14192/Q16513/Q4KMQ2/Q8IXB1/Q8TC12/Q96QK1/Q9BUL8/Q9BXK5/Q9H4A6/Q9NYY8/Q9Y3E5/Q9Y6E0"
"Negative Regulation of Differentiation and Cellular Processes","BP",34,"34/297","2777/30343",0.1032,0.2422,"O15118/O60313/O60716/O95208/P05556/P06756/P0DMV9/P12235/P15311/P16989/P18031/P23634/P26006/P35221/P51149/P84077/P78536/P98082/Q07954/Q12913/Q14118/Q14192/Q14644/Q6YHK3/Q8N5M9/Q8NBM4/Q8NC42/Q92896/Q96BJ3/Q99653/Q9C0E8/Q9NUQ9/Q9P0V3/Q9UKV5"
"Regulation of Cellular Processes: Proliferation, Differentiation, and Signal Transduction","BP",33,"33/297","1861/30343",7e-04,0.0047,"O15269/O15270/O75396/P05067/P05556/P06213/P08670/P0DMV9/P11233/P12235/P15311/P16989/P18031/P26038/P35241/P46777/P51149/P60033/P78527/P78536/P98082/Q01974/Q07954/Q6L8Q7/Q6ZXV5/Q96FW1/Q96QK1/Q99653/Q9BQS8/Q9NYY8/Q9P0V3/Q9UKS6/Q9Y5X1"
"Regulation and Formation of Neural Crest, Heart Valves, and Sexual Characteristics","BP",31,"31/297","2341/30343",0.0533,0.1506,"O14672/O43175/O60313/O60488/O75787/O95470/P05556/P06213/P06744/P06756/P11233/P11586/P16989/P18084/P18827/P26006/P29966/P35221/P39060/P63173/P78527/Q12965/Q13162/Q13308/Q13444/Q14118/Q16643/Q8N3E9/Q96AY3/Q9C0E8/Q9Y6M5"
"Signaling Pathways and Regulation: From Nitric Oxide to MAPK Cascades","BP",30,"30/297","2316/30343",0.071,0.1776,"O60443/O75787/P04406/P05067/P06213/P06756/P10301/P15311/P18031/P23458/P23634/P25445/P36873/P40189/P60033/P98082/Q01518/Q01974/Q12913/Q13162/Q14118/Q14192/Q7Z7H5/Q8NC42/Q96BJ3/Q99584/Q99653/Q9BUL8/Q9NR30/Q9P035"
"Regulation and Checkpoints in Chromosome Segregation and Cell Cycle","BP",30,"30/297","3246/30343",0.6586,0.8705,"O14908/O43175/P05067/P05556/P06213/P0DMV9/P11171/P11233/P15311/P23634/P33992/P35241/P36873/P53985/P53990/P84077/P68366/P78527/P78536/Q01082/Q13561/Q14141/Q14204/Q15286/Q16513/Q6P1M3/Q8IVT2/Q9P0V9/Q9UL46/Q9Y5X1"
"Regulation and Pathways of Ketone, Carbohydrate, and Biogenic Amine Metabolism","BP",26,"26/297","1530/30343",0.0047,0.0224,"O14656/O15118/O15269/O15270/O60669/O75477/P06213/P11498/P15121/P21964/P23634/P28288/P36873/P40189/P49327/P52209/P53985/P98082/Q02218/Q07954/Q13510/Q6PIU2/Q96QK1/Q99714/Q9BYT8/Q9UHB6"
"Regulation and Metabolism of UDP-Glucose, Galactose, and Glycoproteins","BP",24,"24/297","1148/30343",4e-04,0.0031,"O15118/P00558/P04406/P06213/P06744/P10515/P11166/P11177/P11498/P15121/P36873/P40189/P52209/P53007/Q01813/Q15043/Q6ZXV5/Q96AA3/Q99653/Q9BS26/Q9BYT8/Q9H4A6/Q9HC07/Q9UKV5"
"Regulation of Ubiquitin-Dependent Protein Catabolism and Deubiquitination","BP",24,"24/297","1695/30343",0.0453,0.1375,"O14656/O14908/O60313/O75477/O94925/P0DMV9/P22314/P46777/P61769/P98082/Q15758/Q30201/Q8IXB1/Q8NBM4/Q8NC42/Q96CS3/Q96FW1/Q96PU5/Q96QK1/Q99714/Q9UBV2/Q9UKV5/Q9UN86/Q9Y679"
"Development and Regulation of Nervous System and Neurotransmitter Processes","BP",24,"24/297","2356/30343",0.45,0.7116,"O43175/O60716/O75787/P05067/P05556/P08670/P11166/P21964/P23634/P24752/P29966/P40189/P49006/P51648/P61769/P78527/Q01082/Q01974/Q02218/Q07954/Q14118/Q86X29/Q9NP58/Q9UQB8"
"Roles of Transition Metals and Structural Components in Cellular Functions","MF",24,"24/297","2358/30343",0.4517,0.7116,"O75907/P05067/P09874/P10515/P18031/P22830/P24752/P26639/P30041/P46939/P49327/Q15043/Q16850/Q6UW02/Q6UWP7/Q6ZNB6/Q8IVL5/Q8N4V1/Q99584/Q9HC07/Q9NZ08/Q9UIQ6/Q9UMS0/Q9Y6M5"
"Viral Latency, Entry, and Life Cycle Dynamics","BP",23,"23/297","823/30343",0,1e-04,"O15118/O95292/P05556/P06213/P06756/P08174/P08195/P08865/P0DMV9/P11498/P18084/P27105/P35613/P51149/P53990/P60033/Q14118/Q15758/Q16513/Q6L8Q7/Q92692/Q9P035/Q9Y624"
"Diverse Oxidoreductase Activities in Redox Reactions and Electron Transfer","MF",23,"23/297","893/30343",0,3e-04,"O43175/P00167/P00390/P11586/P12268/P15121/P31040/P31937/P32322/P36551/P49327/P50213/P51648/P52209/Q16718/Q16850/Q6NUM9/Q6UW02/Q8IVL5/Q8TC12/Q96C36/Q99714/Q9UBQ7"
"Centrosomes, Spindle Poles, and Cell Division: Key Structures and Complexes","CC",23,"23/297","1826/30343",0.1298,0.2764,"O75695/P05556/P08670/P0DMV9/P11171/P11233/P15311/P29966/P35241/P36873/P46939/P53985/P53990/Q13561/Q14118/Q14141/Q14204/Q16513/Q8IVT2/Q8N3E9/Q9P0V9/Q9UHB6/Q9Y696"
"Interactions, Aging, and Responses in Symbiotic Relationships","BP",22,"22/297","842/30343",0,3e-04,"O15118/P04406/P05556/P06213/P06756/P08174/P08195/P08865/P0DMV9/P11498/P18084/P27105/P35613/P49327/P51149/P51151/P53990/P60033/Q14118/Q15758/Q92692/Q9Y624"
"Regulation of Cellular Processes: Adhesion, Differentiation, and Signal Transduction","BP",22,"22/297","1594/30343",0.067,0.1711,"O15144/P04439/P06756/P08174/P09874/P10301/P23458/P26006/P40189/P46939/P51809/P60033/P61769/P78527/P98082/Q07157/Q12913/Q14118/Q5VZK9/Q96QK1/Q9NUQ9/Q9Y624"
"Activation of Immune Cells and Its Role in Immune Response","BP",22,"22/297","1691/30343",0.1073,0.2468,"O96005/P04439/P05067/P05556/P08174/P12268/P26038/P40189/P51809/P55327/P60033/P61769/P63027/P78527/P78536/Q07954/Q12913/Q30201/Q8N697/Q96BY6/Q99584/Q9NUQ9"
"Regulation of Microtubule Dynamics and Cellular Chemotaxis","BP",20,"20/297","1993/30343",0.4873,0.7472,"O14672/O60313/P05067/P06756/P0DMV9/P11233/P23634/P32004/P35613/P78536/Q04941/Q12913/Q13740/Q14118/Q14204/Q4KMQ2/Q86UP2/Q9BQS8/Q9NUQ9/Q9Y678"
"Diverse Mechanisms of Active Transport and Their Roles in Cellular Transport","MF",19,"19/297","733/30343",1e-04,0.001,"O60669/P00167/P08195/P12235/P23634/P28288/P53007/P53985/Q01650/Q15043/Q15758/Q16718/Q16864/Q6NUT3/Q8N697/Q99653/Q9H936/Q9NP58/Q9Y6M5"
"Regulation of Enzyme Activities in Inositol Phosphate Signaling and Metabolism","BP",18,"18/297","1387/30343",0.1377,0.2828,"P06213/P14406/P18031/P23634/P31040/P60033/P78536/Q01974/Q14118/Q14192/Q14573/Q15043/Q16718/Q99653/Q9BUL8/Q9H936/Q9Y376/Q9Y5X1"
"Adaptive Immune Response and Isotype Switching Mechanisms","BP",17,"17/297","1105/30343",0.0454,0.1375,"O14939/P04439/P08174/P09874/P23634/P40189/P60033/P61769/P78536/Q12792/Q12913/Q14118/Q30201/Q4KMQ2/Q8N697/Q92692/Q9NUQ9"
"Diverse Receptor Activities in Signal Transduction: Adrenergic, Cytokine, and Hormone Pathways","MF",17,"17/297","2521/30343",0.9638,1,"O15118/O15173/O75787/P05556/P06213/P06756/P25445/P32004/P40189/P50895/Q01974/Q07954/Q13308/Q15758/Q92692/Q9H6X2/Q9UKV5"
"Regulation and Types of Synaptic Transmission and Membrane Potential Dynamics","BP",16,"16/297","1535/30343",0.4345,0.7116,"O00291/O14656/O14908/O94925/P05067/P05556/P09874/P84077/P63027/Q01974/Q14573/Q16643/Q96PU5/Q96QK1/Q9UQB8/Q9Y6M5"
"Regulation of Post-Translational Modifications and Signaling Pathways","BP",15,"15/297","1027/30343",0.0816,0.1996,"O00291/P05067/P05556/P06213/P10301/P23458/P40189/P98082/Q01082/Q07954/Q12913/Q14118/Q30201/Q6ZXV5/Q9Y376"
"Development and Morphogenesis of Sensory Nerves and Eye Structures","BP",15,"15/297","1442/30343",0.442,0.7116,"O14672/O60443/O95470/P05067/P08670/P12268/P15121/P18827/P23634/P24752/P26006/P63173/Q12965/Q13308/Q9Y696"
"Regulation of Cellular Processes: Immunity, Proliferation, and Metabolism","BP",14,"14/297","909/30343",0.0649,0.1695,"P04439/P08174/P31949/P35221/P60033/P61769/P78536/Q30201/Q8N697/Q92692/Q96QK1/Q9BUL8/Q9NR30/Q9NUQ9"
"Enzymatic Reactions Involving ATP Hydrolysis and Carboxylase Activity","MF",14,"14/297","1548/30343",0.6575,0.8705,"O14656/O43681/P0DMV9/P12235/P23634/P28288/P33992/P78527/Q12965/Q16513/Q9NP58/Q9NR30/Q9UG63/Q9Y6E0"
"Transport Mechanisms of Essential Molecules and Ions Across Cellular Membranes","BP",13,"13/297","604/30343",0.007,0.0309,"O60669/P12235/P51991/P53985/Q13561/Q15043/Q15758/Q4KMQ2/Q8TEM1/Q9HC07/Q9UN86/Q9Y696/Q9Y6M5"
"Regulation of Cellular Processes: From Protein Cleavage to Immune Response","BP",13,"13/297","1364/30343",0.5789,0.7943,"P05556/P06756/P08133/P15311/P26006/P35241/Q14644/Q96BJ3/Q99653/Q9UKS6/Q9UN86/Q9Y5X1/Q9Y624"
"Regulation of Transcription, RNA Processing, and Gene Silencing Mechanisms","BP",13,"13/297","4449/30343",1,1,"P05067/P09874/P0DMV9/P15311/P16989/P23634/P60033/P78527/P98082/Q14192/Q6NZI2/Q6ZNB6/Q9NR30"
"Enzyme Activities and Transport Functions in Lipid and Amino Acid Metabolism","MF",12,"12/297","626/30343",0.0213,0.0742,"O60669/P08195/P11498/P53007/P53985/Q01650/Q15758/Q6NUT3/Q8IVL5/Q8N697/Q9H936/Q9UBQ7"
"Regulation and Effects of Respiratory Burst and Reactive Oxygen Species","BP",12,"12/297","670/30343",0.0334,0.1098,"O75907/P06213/P08174/P15121/P18827/P32322/P51648/P98082/Q6NUM9/Q8TC12/Q9BUL8/Q9Y6E0"
"Metabolic Pathways of Pyrimidine and Purine Nucleotides: Synthesis and Catabolism","BP",12,"12/297","677/30343",0.0357,0.1141,"O60488/O75907/P09874/P10515/P11177/P11586/P12268/P24752/P31040/P53007/Q02218/Q16718"
"Biosynthetic and Metabolic Pathways of Key Biomolecules","BP",11,"11/297","647/30343",0.055,0.1506,"O14939/O15269/O15270/P10515/P11177/P22830/P24752/P36551/Q6UWP7/Q99653/Q9NP58"
"Development and Maturation of Cerebellar and Retinal Layers","BP",10,"10/297","657/30343",0.1133,0.2507,"P08670/P26006/P61769/P98082/Q01974/Q12792/Q13308/Q16643/Q9UQB8/Q9Y6E0"
"Differentiation and Maturation of Various Epithelial and Specialized Cells","BP",10,"10/297","844/30343",0.3144,0.5739,"O95470/P05556/P06756/P08133/P40189/P49327/P78527/Q12965/Q16643/Q9UQB8"
"Regulation of Molybdopterin Cofactor and Related Biological Processes","BP",10,"10/297","985/30343",0.4982,0.7539,"P04439/P05067/P06213/P08174/P40189/P60033/P63027/P78536/Q01974/Q14573"
"Functional Components of Chromosomal and Membrane Extrinsic Regions in Cellular Systems","CC",10,"10/297","1038/30343",0.5651,0.7943,"O00291/O14656/O60716/P09874/P33992/P35221/P36873/P78527/Q13561/Q14141"
"Regulation of Calcium Ion Release and Detoxification in Cellular Processes","BP",9,"9/297","298/30343",0.0028,0.0148,"O43681/O95292/P18031/Q8IXB1/Q8N4V1/Q8N766/Q9C0E8/Q9NP58/Q9Y6M5"
"Antigen Processing and Presentation via MHC Class I and Class Ib Pathways","BP",9,"9/297","362/30343",0.0098,0.0417,"P04439/P13284/P15311/P61769/Q01082/Q01650/Q30201/Q9NZ08/Q9UIQ6"
"Enzyme Activities Involving Redox Reactions, Transport, and Catalysis","MF",9,"9/297","675/30343",0.2185,0.4188,"O60669/P07910/P10515/P11177/P16989/P22830/P31937/P46777/Q9UN86"
"Regulation of Cholesterol Storage and Metabolism in Response to Hormonal Stimuli","BP",9,"9/297","679/30343",0.2233,0.4211,"O15118/O75477/P05067/P09874/P18827/P22830/Q16270/Q16850/Q9UHB6"
"Mechanisms of Skeletal and Smooth Muscle Contraction","BP",9,"9/297","818/30343",0.4084,0.7009,"P06753/P08133/P09874/P23634/P40189/P46939/P67936/Q12792/Q96PU5"
"Key Mitochondrial Respiratory Chain Complexes and Their Functions","CC",8,"8/297","211/30343",0.0012,0.0071,"O60313/P10515/P11177/P14406/P18031/P31040/Q02218/Q16718"
"Transmembrane Transport and Binding Activities of Lipoproteins and Small Molecules","MF",8,"8/297","331/30343",0.0168,0.0625,"O60669/P11171/P32004/P53985/P98082/Q07954/Q13308/Q13561"
"Roles of Adaptor Complexes and MHC Interactions in Cellular Transport and Signaling","MF",8,"8/297","376/30343",0.0327,0.1098,"O00291/P06213/P18827/P60033/P61769/P98082/Q07954/Q9NUQ9"
"Enzyme Activities in Metabolism: Aldehyde and Oxidoreductase Functions","MF",7,"7/297","177/30343",0.0019,0.0102,"P04406/P10515/P11177/P15121/P51648/Q02218/Q8TC12"
"Remodeling and Regulation of Lipoprotein Particles and Fatty Acid Metabolism","BP",7,"7/297","264/30343",0.0157,0.0602,"O60488/O75521/O75907/P24752/P28288/P42126/Q99714"
"Key Protein Complexes in Cellular Receptor and Signaling Pathways","CC",7,"7/297","272/30343",0.0182,0.0653,"P06213/P15311/P25445/P40189/P60033/Q12913/Q13740"
"Chemokine, Toll-like Receptor, and Enzyme Binding and Activity in Immune Responses","MF",7,"7/297","348/30343",0.0563,0.1506,"O75718/O95292/P05556/P06756/P26006/Q04941/Q9H6X2"
"Key RNA and Ribosomal Complexes in Eukaryotic Cells","CC",7,"7/297","479/30343",0.1915,0.3797,"P08708/P08865/P18077/P46777/P62979/P63173/Q99714"
"Roles of Retinal, Vitamin D, and Ion Channels in Cellular Functions","MF",7,"7/297","813/30343",0.6859,0.8822,"P06756/P08133/P62166/Q14573/Q14644/Q4KMQ2/Q9Y696"
"Redox Enzymes and Their Specific Activities in Metabolic Processes","MF",6,"6/297","805/30343",0.8025,0.9924,"P30041/Q13162/Q8NC42/Q96PU5/Q9UKV5/Q9Y6N5"
"Receptor Activities in Growth Regulation, Apoptosis, and Neuroprotection","MF",6,"6/297","1159/30343",0.9723,1,"P04406/P05067/P06744/P53621/P55145/Q6YHK3"
"Enzyme Functions in Fatty Acid Metabolism: Dehydrogenation, Hydration, and Transport","MF",5,"5/297","144/30343",0.0139,0.055,"O60488/P42126/P49327/P51648/Q9P035"
"Ribosomal RNA Processing: Maturation and Cleavage Mechanisms","BP",5,"5/297","350/30343",0.2595,0.4813,"P08708/P18077/P46777/P78527/Q9NR30"
"Regulation of Vitamin D Metabolism, Lipid Storage, and Cellular Responses","BP",5,"5/297","463/30343",0.4752,0.7385,"O60664/O75907/P06756/P11166/Q9Y679"
"Development and Morphogenesis of the Lung, Mammary Gland, and Urogenital Structures","BP",5,"5/297","605/30343",0.7083,0.8854,"P26006/P38571/P49327/Q13308/Q14118"
"Mechanisms of Protein Modification by Ubiquitin, SUMO, and Ubiquitin-like Ligases","MF",5,"5/297","940/30343",0.9546,1,"P22314/Q6PIU2/Q8NC42/Q96PU5/Q9UKV5"
"Regulation and Mechanisms of DNA Repair and Recombination","BP",5,"5/297","1073/30343",0.9809,1,"P07954/P09874/P33992/P78527/Q96FW1"
"Overview of Key Protein Complexes in Cellular Signaling and Function","CC",4,"4/297","235/30343",0.1994,0.3887,"P04439/P31040/P61769/Q14118"
"Lipoprotein Particles and DNA Repair Complexes in Cellular Function","CC",4,"4/297","316/30343",0.3738,0.6513,"O15144/O15511/P09874/Q86X29"
"Assembly and Regulation of Protein Complexes and Mitochondrial Respiration","BP",4,"4/297","378/30343",0.5075,0.7579,"P11233/P63027/Q16718/Q96QK1"
"Regulation of Cell Transitions and Proliferation in Development and Tissue Regeneration","BP",4,"4/297","483/30343",0.6981,0.8822,"P98082/Q13444/Q14118/Q6YHK3"
"Developmental Processes of Lateral Line Systems and Hair Cells in Vertebrates","BP",4,"4/297","636/30343",0.8717,1,"O75787/P78527/Q6YHK3/Q96BJ3"
"Ubiquitin Ligase Complexes and Other Essential Cellular Machinery","CC",4,"4/297","724/30343",0.926,1,"Q9NP58/Q9UBV2/Q9UKV5/Q9UL46"
"Structural Components and Functions of Ciliary and Nuclear Pore Complexes","CC",4,"4/297","783/30343",0.9498,1,"O75695/P15311/P23634/P35613"
"Roles of Transcription Initiation Factors and Coactivators in RNA Polymerase Function","MF",4,"4/297","3031/30343",1,1,"P05067/P0DMV9/P12814/Q14192"
"Enzymatic Reactions in Phosphate Transfer and Metabolism","MF",3,"3/297","107/30343",0.088,0.2108,"P04406/P06744/P51648"
"Binding Specificity of Protein Domains in Apoptosis and Signal Transduction","MF",3,"3/297","307/30343",0.5802,0.7943,"P0DMV9/P53990/Q14118"
"Key Protein Complexes in Cell Signaling, DNA Repair, and Muscle Function","CC",3,"3/297","357/30343",0.6811,0.8822,"Q01082/Q13813/Q96CS3"
"Regulation of Vascular and Barrier Development in Embryonic and Adult Tissues","BP",3,"3/297","474/30343",0.845,1,"P43121/Q13308/Q86X29"
"Regulation and Catabolism of Glycerophospholipids and Terpenoids","BP",3,"3/297","648/30343",0.9541,1,"O14939/O75907/Q6UWP7"
"Binding and Catalytic Activities of DNA and RNA Modifying Enzymes","MF",3,"3/297","2609/30343",1,1,"P05067/P16989/Q6ZNB6"
"Enzymatic Activities in Cholesterol and Retinoid Metabolism","MF",2,"2/297","65/30343",0.1332,0.2786,"Q16850/Q8IVL5"
"Diverse Cyclin-CDK Complexes and Their Regulatory Functions in the Cell Cycle","CC",2,"2/297","129/30343",0.3605,0.6379,"P36873/Q9BUL8"
"Collagen Trimers and Proton-Transporting ATPase Complexes: Structure and Function","CC",2,"2/297","154/30343",0.4459,0.7116,"O75787/Q16864"
"Development and Morphogenesis of Nephron Structures and Renal Capsule","BP",2,"2/297","176/30343",0.5155,0.76,"P24752/Q12965"
"Enzymatic Functions and Kinase Activities in Lipid Metabolism and Signal Transduction","MF",2,"2/297","196/30343",0.5736,0.7943,"P30041/Q6PIU2"
"Hormonal Activities and Lipid Transfers in Cellular Processes","MF",2,"2/297","348/30343",0.8568,1,"P53621/Q01650"
"Maturation Processes in Brain, Bone, and Cellular Structures","BP",2,"2/297","370/30343",0.8792,1,"O95716/P51149"
"Spliceosomal Complexes and Ribonucleoprotein Functions in RNA Splicing","CC",2,"2/297","386/30343",0.8935,1,"P07910/P51991"
"Mechanisms and Regulation of Cell Fate Commitment and Specification","BP",2,"2/297","511/30343",0.9614,1,"P05556/P78527"
